,DeepFool_2.82,FGSM_0.19,FGSM_2.75,FGSM_0.11,DeepFool_0.54,FGSM_0.28,BIM_0.16,FGSM_0.17,BIM_0.72,DeepFool_2.56,DeepFool_0.71,FGSM_2.48,DeepFool_2.69,CWL2_0.73,FGSM_0.3,FGSM_0.23,DeepFool_0.51,BIM_0.97,DeepFool_1.48,FGSM_0.25,DeepFool_1.93,DeepFool_2.1,BIM_0.8,DeepFool_0.74,DeepFool_1.73,DeepFool_2.26,BIM_0.88,DeepFool_2.43,DeepFool_0.57,BIM_0.64,FGSM_0.14,FGSM_0.33,BIM_0.28,DeepFool_0.77,DeepFool_0.82,DeepFool_0.68,BIM_0.55,DeepFool_2.98,DeepFool_0.62,DeepFool_0.8,FGSM_0.21,FGSM_2.62,DeepFool_3.12,DeepFool_0.6,DeepFool_0.65,BIM_0.47
FGSM_2.48,97.4369,73.0995,99.9618,81.106,60.4491,87.3231,61.8908,74.6872,77.7145,95.9435,71.0654,99.962,97.049,76.3396,89.499,79.8432,60.2138,86.8222,87.7111,88.1618,91.8462,96.1071,81.9515,85.1614,89.5041,95.6459,80.5088,95.5243,75.1632,75.8466,71.3162,87.6672,74.8588,88.5321,77.6099,85.7565,74.7945,96.7371,76.5824,84.4777,85.0029,99.9515,98.2078,84.161,71.6943,80.9251
DeepFool_2.69,92.7388,88.4239,75.6563,87.805,85.6113,88.4595,85.6516,88.9063,87.5457,93.1732,87.5897,72.9167,91.6581,89.8873,89.4898,86.4177,85.5465,89.2964,91.0963,89.1668,92.2503,93.1886,88.7158,90.38,92.3084,92.0448,87.2047,92.7314,88.6205,86.4347,88.8694,89.3798,88.3078,90.6621,89.2929,88.6488,86.1967,93.189,88.7561,91.1044,87.7046,76.0681,92.6127,90.0673,88.5213,88.3372
CWL2_0.73,92.7923,93.3406,69.0699,92.7621,90.572,92.8462,91.851,93.869,94.4371,93.4178,90.3575,62.5984,92.2026,95.3449,92.9678,90.9431,88.9331,94.749,92.6786,93.0173,93.3913,93.3803,94.3285,91.5145,93.9041,92.7485,93.7419,93.8848,89.8046,93.9016,93.5401,93.1337,94.3831,91.0714,91.4826,89.2081,94.0894,93.6668,90.0626,92.3374,91.7265,64.3575,93.3565,91.3003,90.2574,94.2508
FGSM_0.3,82.3677,84.1151,67.8858,82.1161,77.5853,84.9422,78.8808,84.157,82.9103,83.5509,77.9259,65.7214,81.619,83.1196,83.0555,81.1907,75.9263,83.0643,82.076,83.8673,81.9811,82.5528,83.7125,78.4411,83.2138,83.784,83.0498,83.0021,78.3818,83.6621,82.8127,85.3427,82.9023,79.9687,78.5592,78.2479,82.534,83.3066,78.2416,80.6196,81.7553,67.3287,82.8277,79.2293,77.1156,83.8878
FGSM_0.23,83.4282,84.9815,66.926,84.0308,78.72,86.0459,82.9159,84.312,84.5276,84.2684,80.2545,61.7157,83.0215,85.6106,84.9572,83.1625,78.4652,85.2366,83.8062,85.6135,84.097,85.2233,84.523,81.0728,84.486,84.8024,84.6673,85.1857,79.3645,84.2535,84.6921,84.4688,84.3727,79.259,80.1715,78.9515,85.2288,84.2901,79.9678,81.0508,83.1805,66.5511,83.6496,80.7532,78.6837,84.7946
DeepFool_0.51,93.8209,92.4301,72.8981,93.8965,98.401,91.0488,90.474,93.6833,88.7102,96.2292,98.6854,62.1231,92.8414,92.3832,92.4073,90.7449,98.3757,90.6048,96.6223,91.2663,96.2302,95.3191,88.8347,98.9973,96.3646,95.2061,85.6925,95.5442,98.5711,87.7554,94.3583,92.0875,90.6279,98.6276,97.8932,98.0244,87.1637,94.5073,98.6053,98.779,88.6576,65.8315,91.8764,98.4111,98.2934,90.1716
BIM_0.97,93.2852,94.5239,67.9274,92.9322,89.0634,94.4185,92.3198,94.4908,96.2796,93.9961,89.0652,64.0287,92.0617,95.7118,94.1683,91.3884,87.1169,96.4288,91.9518,93.7762,93.523,94.0003,96.3684,89.5637,93.4612,92.7789,95.995,94.3411,89.2301,95.9203,94.2282,93.698,95.344,90.2673,89.9468,88.0461,95.342,93.8103,88.2082,90.7794,92.2572,71.0231,93.4013,90.4114,89.5093,95.8889
DeepFool_1.48,93.3374,91.4998,71.9296,91.3822,92.923,90.6636,89.4311,91.7867,90.2212,93.792,93.6112,65.6084,92.5219,91.3394,91.2938,89.9989,92.423,91.3394,94.4574,90.9931,94.7239,93.8174,90.6991,95.0768,94.8263,94.0246,88.5788,94.0725,93.4142,89.0555,92.4003,91.4536,90.6454,94.2767,94.2891,92.9044,89.03,93.2822,93.6121,95.0115,88.8343,69.0071,92.1558,94.5534,93.7321,91.0402
FGSM_0.25,84.166,84.2411,65.4118,83.5652,77.5892,85.1025,81.6447,84.0125,83.9408,85.0434,78.9027,63.04,83.0504,85.714,85.1899,82.6491,77.2042,85.1522,82.3416,85.0211,84.3266,83.7697,84.5425,79.3818,84.1731,83.7622,82.7526,84.6743,79.4136,84.3039,84.1956,84.902,84.0833,80.4039,79.7513,79.1301,83.7458,83.9484,78.8711,81.296,83.7457,65.2294,84.2421,80.2598,78.3313,84.8489
DeepFool_1.93,92.5979,91.0628,72.9839,90.1279,90.3572,89.6604,88.4886,90.7892,89.5221,93.3062,90.9528,67.6069,92.1106,91.4979,90.4223,88.4156,89.7309,90.5281,93.7093,89.89,93.8444,93.2824,90.2031,92.952,94.0365,92.88,88.7815,93.1603,91.3807,88.5509,91.1932,91.1354,90.3532,92.7814,91.8237,90.6947,88.6767,93.5045,91.5885,93.5875,88.3097,71.8812,92.1792,92.389,92.2281,90.2694
DeepFool_2.1,92.8945,89.7269,74.5332,89.4701,88.8934,89.497,87.7408,90.828,89.4463,93.3766,90.1723,69.2488,91.8992,91.0086,90.5174,87.97,88.5008,89.1201,92.5301,89.2177,92.7885,93.2213,89.8242,92.2531,93.3854,92.7671,88.0161,92.7708,90.5695,87.4994,91.0148,90.2457,89.5868,92.2089,90.6176,89.6857,87.8187,93.1663,90.5102,92.4633,87.9423,72.8619,92.3424,91.7232,91.0163,89.6707
BIM_0.8,93.2395,94.2093,67.9388,93.1743,89.5676,94.0009,92.9512,94.6027,96.7917,93.8085,89.7098,62.3361,92.1795,96.0123,94.3549,91.263,88.1037,96.3114,91.6671,94.2062,93.8428,93.6285,96.3472,89.8902,93.6823,92.9177,95.9005,94.4081,88.7489,96.1783,94.5545,93.6351,95.6124,90.4109,90.0024,87.9428,95.9944,93.6145,88.3381,90.9218,92.6552,69.0554,93.3578,90.3494,89.646,96.1611
DeepFool_0.74,95.0475,93.5207,72.6924,94.3573,97.6408,92.3566,92.0881,94.9344,91.436,95.4784,98.1274,63.2857,93.8015,93.5364,92.9487,91.7198,97.7929,93.1078,97.0197,92.9144,96.1443,96.0198,92.256,98.5822,96.475,95.4596,90.5193,95.5276,97.6075,90.6705,95.2369,92.7591,93.1041,97.8778,97.8107,96.9782,91.3598,94.9592,98.2519,98.3316,90.6551,67.1441,93.7694,97.8607,97.6931,92.7734
DeepFool_1.73,93.1606,90.7919,72.5331,90.6424,91.8892,90.2737,89.2761,91.8772,89.6278,93.4616,92.2973,66.6231,92.2975,91.8512,90.6498,88.3873,90.4399,90.7923,93.5063,90.2097,94.2197,93.8564,90.8608,94.091,94.1872,93.4329,88.7273,93.5591,91.9373,88.9863,92.0034,90.7417,89.9458,93.2967,92.7632,91.6662,88.7495,93.5389,92.1375,94.3684,88.8622,70.7276,92.4893,93.2147,92.5993,90.7127
DeepFool_2.26,92.9156,89.6246,73.4953,88.6776,88.3043,89.05,87.4332,89.3746,89.4152,93.3029,89.5357,70.5486,91.8888,90.718,89.8886,88.0113,87.4904,89.8988,91.9733,89.117,93.1802,93.2837,89.4752,91.5714,92.9757,92.3959,87.9168,93.2222,90.1606,87.5402,90.6991,90.3608,89.1594,92.0297,90.4067,89.6189,87.7275,93.1788,90.455,92.3951,87.1468,74.1441,92.4143,91.3834,89.8802,89.4878
BIM_0.88,93.5947,94.1485,69.0095,93.2587,89.1238,94.1322,92.0946,94.2929,96.5076,93.1901,88.4671,63.3767,92.2287,95.6148,94.3612,91.2719,87.4152,96.5722,91.7366,94.4761,93.4943,93.766,96.2934,89.9106,93.8374,93.2325,96.2874,94.2683,89.2713,95.9034,94.4726,93.6491,95.359,90.7053,89.9625,88.2276,95.4932,93.934,87.9883,90.9513,92.1786,69.4795,92.8352,90.032,88.9664,95.8824
DeepFool_2.43,93.1591,89.4394,75.0145,87.8694,87.6869,88.9371,86.7862,89.8621,88.7713,93.4865,88.436,70.5018,91.6037,90.3494,89.6712,87.112,86.8111,89.851,92.1449,89.5679,93.1804,92.9573,89.4373,91.1214,93.322,92.7206,87.7003,93.2409,89.0184,87.0814,89.8642,89.312,89.2245,90.7331,89.58,89.4667,87.3566,92.7752,89.2445,92.0197,87.5627,75.3081,92.4053,90.4606,89.9202,89.2303
